Pack Name,Release Date,OCG Score,Pack Score Average,Unlock Cards,Most Older Cards,Most Recent Cards
Life Force Control System,2022-01-19,215653,5828.459459459459,"Infernoid Tierra, Apoqliphort Towers, Infernoid Onuncu, Apoqliphort Skybase, Infernoid Devyaty, Qliphort Disk, Qliphort Scout, Qliphort Genius, Into the Void, Void Apocalypse, Void Imagination, Void Vanishment",,
Warriors Unite!,2022-01-19,216507,5412.675,"War Rock Bashileos, War Rock Meteoragon, Amazoness Swords Woman, Amazoness Princess, Amazoness Empress, Amazoness Pet Liger, War Rock Fortia, War Rock Wento, Amazoness Call, Amazoness Village, War Rock Dignity, War Rock Mountain",,
Onomatopair-Up,2022-01-19,217870,5446.75,"Gagaga Cowboy, Gagagaga Magician, Utopic Onomatopoeia, Onomatopaira, Gagaga Magician, Gogogo Giant, Number 55: Gogogo Goliath, Zubaba General, Gagaga Sister, Gagaga Academy Emergency Network, Onomatopia, Onomatopickup",,
Secret Fighters,2022-01-19,219600,6654.545454545455,"Super Quantal Mech King Great Magnus, Super Quantum Red Layer, SPYRAL Super Agent, SPYRAL Double Helix, SPYRAL Sleeper, SPYRAL Master Plan, Super Quantal Mech Beast Lusterrex, Super Quantal Mech Beast Magnaliger, SPYRAL GEAR - Drone, SPYRAL Quik-Fix, Neo Super Quantal Mech King Blaster Magna, SPYRAL Resort",,
Emerging Monstrosity Recon!,2022-01-19,220187,7102.806451612903,"Danger! Bigfoot!, Dogoran, the Mad Flame Kaiju, Interrupted Kaiju Slumber, Super Anti-Kaiju War Machine Mecha-Thunder-King, Gameciel, the Sea Turtle Kaiju, Danger! Nessie!, Kumongous, the Sticky String Kaiju, Pendransaction, Danger!? Jackalope?, Danger!? Tsuchinoko?",,
Destiny's Sorceress,2022-01-19,220438,5510.95,"Earthbound Immortal Aslla piscu, Prediction Princess Tarotrei, Fortune Lady Every, Fortune Lady Calling, Fortune Lady Water, Prediction Princess Coinorma, Fortune Fairy Hikari, Fortune Lady Light, Fortune Vision, Future Visions, Miracle Stone, The Transmigration Prophecy",,
Shark's Pride,2022-01-19,220677,5516.925,"Valiant Shark Lancer, Bahamut Shark, Rank-Up-Magic - The Seventh One, Rank-Up-Magic Quick Chaos, Number C73: Abyss Supra Splash, Number 73: Abyss Splash, Full Armored Black Ray Lancer, Number 32: Shark Drake, Number 37: Hope Woven Dragon Spider Shark, Number C32: Shark Drake Veiss, Number 17: Leviathan Dragon, Number 47: Nightmare Shark, Number 71: Rebarian Shark",,
A Song of Zephyr and Petals,2022-01-19,220780,6308.0,"Windwitch - Diamond Bell, Bloom Diva the Melodious Choir, Windwitch - Ice Bell, Ostinato, Bloom Prima the Melodious Choir, Windwitch - Winter Bell, Windwitch - Glass Bell, Bloom Harmonist the Melodious Composer, 1st Movement Solo, Windwitch Chimes",,
Dragon Knight Gorge,2022-01-19,221367,5534.175,"Dragunity Arma Gram, Dragunity Knight - Areadbhair, Dragunity Knight - Ascalon, Dragon Ravine, Dragunity Knight - Gormfaobhar, Dragunity Knight - Gae Dearg, Dragunity Knight - Vajrayana, Dragunity Legatus, Dragunity Remus, Dragunity Divine Lance, Dragunity Whirlwind, Ice Dragon's Prison",,
Guardians of Fire,2022-01-19,221552,5830.315789473684,"Brotherhood of the Fire Fist - Cardinal, Brotherhood of the Fire Fist - Tiger King, Brotherhood of the Fire Fist - Rooster, Brotherhood of the Fire Fist - Eagle, Brotherhood of the Fire Fist - Swan, Brotherhood of the Fire Fist - Eland, Brotherhood of the Fire Fist - Horse Prince, Brotherhood of the Fire Fist - Bear, Brotherhood of the Fire Fist - Spirit, Brotherhood of the Fire Fist - Peacock, Fire Formation - Tenki, Fire Formation - Yoko",,
